sentence_id,domain,source_doc,source_file,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes,semantic_variable_name,exception_type_normalized,threshold_value,threshold_unit,threshold_direction,split
2021-202_0260,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,36,"2021-2024 1199-LEAGUE AGREEMENT 35 (vi) Discharge During 30 Day Probationary Period During or at the end of the thirty (30) day probationary period, the Employer may discharge an Employee referred by the JSF and such discharge shall not be subject to the Grievance and Arbitration provisions of this Agreement except as hereinafter provided.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|threshold|exception,4,Yes,HARD,"Employer, Employee, JSF",,except as hereinafter provided,"auto-openai:The sentence establishes a mandatory condition under which the Employer can discharge an Employee during the probationary period, indicating a hard constraint.",,,,,,val
2021-202_0589,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,83,"(6) In the event of any emergency such as fire, epidemic, power failure, machine breakdown, war, major catastrophe and the like, any Employer may subcontract part or all of any of its services for the duration of the emergency.",SOFT,deontic:permission|exception,3,Yes,SOFT,Employer,,"any emergency such as fire, epidemic, power failure, machine breakdown, war, major catastrophe and the like","auto-openai:The sentence allows the Employer to subcontract services during emergencies, indicating discretion rather than a mandatory requirement.",,,,,,val
2021-202_0148,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,23,22 2021-2024 1199-LEAGUE AGREEMENT vision shall be subject to the grievance and arbitration provisions of the Agreement.,HARD,deontic:obligation|exception,3,Yes,HARD,union,,,"auto-openai:The sentence indicates that the vision is subject to grievance and arbitration provisions, which is a mandatory requirement of the agreement.",,,,,,val
2021-202_0391,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,62,"(b) Each Employer shall establish a procedure for assigning overtime, in the first instance, among qualified Employees who wish to work overtime, except in emergencies.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Employees",,in emergencies,"auto-openai:The sentence establishes a mandatory procedure for assigning overtime among qualified employees, indicating a hard constraint with a specific exception for emergencies.",,,,,,val
2021-202_0384,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,61,"(g) Grievances alleging violations of Article XII shall be subject to the grievance and arbitration provisions of this Agreement, but shall, if the matter proceeds to arbitration, be determined by an arbitrator se-",HARD,deontic:obligation|exception,3,Yes,HARD,"union, arbitrator",,,"auto-openai:The sentence establishes a mandatory process for grievances to be resolved through arbitration, indicating a hard constraint.",,,,,,val
2021-202_0141,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,22,"(c) In the event of a layoff of any Employee, there shall occur only one “bump” in the Employer.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Employee",,,"auto-openai:The sentence establishes a mandatory condition regarding layoffs and the process of bumping, indicating a clear obligation for the Employer.",,,,,,val
2021-202_0381,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,61,Where work assignments are otherwise changed such Employee shall have his/her schedule of weekends off maintained unless to do so would unreasonably impair the efficiency of the Employer.,HARD,deontic:obligation|exception,3,Yes,SOFT,"Employee, Employer",,unless to do so would unreasonably impair the efficiency of the Employer,"auto-openai:The sentence indicates a discretionary condition regarding work assignments and schedules, making it a soft constraint.",,,,,,val
2021-202_0380,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,61,"(e) Where a regular, full-time Employee or a temporary full-time Employee has worked a permanent regular schedule of weekends off, his/ her schedule of weekends off shall not be reduced while he/she is in his/her present position or shift, except in an emergency.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Employee, union",,in an emergency,"auto-openai:The sentence establishes a mandatory rule regarding the maintenance of a regular schedule of weekends off for employees, with a specific exception for emergencies.",,,,,,val
2021-202_0146,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,22,"(2) or more Employees are under consideration for such vacancy, the Employer shall promote the Employee with the greatest bargaining unit seniority, unless as between or among such Employees there is an appreciable difference in their ability to do the job.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Employee",,unless as between or among such Employees there is an appreciable difference in their ability to do the job,"auto-openai:The sentence establishes a mandatory promotion rule based on seniority, with a specific exception regarding employee ability.",,,,,,val
2021-202_0151,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,23,"If he/she is removed from the new job during the probationary period, he/she shall be returned to his/her former job, if vacant, or to another suitable job (vacant or one that will be newly created) on the same shift as the former job without loss of seniority, pay or other benefits applicable to the former job, excepting that if he/she is discharged, his/her rights shall be subject to Article XXIX (Discharge and Penalties) of this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer, union",,"if he/she is discharged, his/her rights shall be subject to Article XXIX (Discharge and Penalties)","auto-openai:The sentence establishes a mandatory return to a former job or suitable job without loss of benefits, indicating a legally binding obligation.",,,,,,val
2021-202_0128,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,21,"(a) In the event of a layoff within a job classification or group, probationary Employees within that job classification, or group (where applicable) shall be laid off first without regard to their individual periods of employment.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employees, job classification, group",,,"auto-openai:The sentence establishes a mandatory rule regarding the order of layoffs, specifying that probationary employees must be laid off first, which indicates a hard constraint.",,,,,,val
2021-202_0155,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,23,"(1) year of service in his/her present job may request, in writing, a transfer to fill such a vacancy provided that the Employee has the necessary qualifications to perform the job and provided further that such transfer will not unreasonably reduce the operational efficiency of any department.",SOFT,deontic:permission|exception,3,Yes,SOFT,"employee, department",,provided that the Employee has the necessary qualifications to perform the job and provided further that such transfer will not unreasonably reduce the operational efficiency of any department,"auto-openai:The sentence outlines a discretionary process for requesting a transfer, contingent upon qualifications and operational efficiency, indicating it is a soft constraint.",,,,,,val
2021-202_0156,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,23,"(2) or more Employees request such transfer in writing, the Employer shall transfer the Employee with the greatest bargaining unit seniority, unless as among such Employees there is an appreciable difference in their ability to do the job.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Employee",,unless as among such Employees there is an appreciable difference in their ability to do the job,"auto-openai:The sentence establishes a mandatory requirement for the Employer to transfer an Employee based on seniority, with a specific exception regarding job ability.",,,,,,val
2021-202_0162,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,24,"Notwithstanding the foregoing, bargaining unit seniority shall be used to determine the Employment Protection Status of Employees in bargaining units covered by this Agreement on or before September 23, 2021.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, bargaining unit",,,"auto-openai:The sentence establishes a mandatory use of seniority for determining Employment Protection Status, indicating a legally binding requirement.",,,,,,val
2021-202_0164,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,24,"In the event an Employer raises substantial issue over the number of protected bargaining unit Employees (e.g. more than 75% of the Employees in a department or area are protected) the issue may be referred to CIPC, but shall not be subject to its arbitration process.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,Yes,SOFT,"Employer, Employees, CIPC",75%,shall not be subject to its arbitration process,auto-openai:The sentence outlines a discretionary process regarding the referral of issues to CIPC based on a specific threshold of protected Employees.,,,,,,val
2021-202_0166,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,24,"(d) non-bargaining unit status during an Employee’s twenty-four (24) month period of membership in an 1199 bargaining unit at his/her Employer, does not disqualify such Employee from protected status, provided the Employee otherwise qualified under section 1 above, except that an Employee on an unpaid LOA on January 1, 2013 must have returned to work at the end of the LOA and worked for a period of ninety (90) days following such return.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employee, Employer, bargaining unit","LOA=24months, return_period=90days","provided the Employee otherwise qualified under section 1 above, except that an Employee on an unpaid LOA on January 1, 2013 must have returned to work at the end of the LOA","auto-openai:The sentence establishes mandatory conditions for maintaining protected status, indicating specific timeframes and requirements that must be met.",,,,,,val
2021-202_0794,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,132,"Disputes arising concerning this provision shall be resolved pursuant to the CIPC process, but shall not be subject to arbitration.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,,"auto-openai:The sentence establishes a mandatory process for dispute resolution that must be followed, indicating a hard constraint.",,,,,,val
2021-202_0791,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,131,"This program shall not apply following the end of the term of this Agreement, unless extended by mutual agreement of the League and the Union.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"League, Union",,unless extended by mutual agreement of the League and the Union,auto-openai:The sentence establishes a mandatory condition that the program does not apply after the agreement term unless both parties agree to extend it.,,,,,,val
2021-202_0786,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,129,"In view of the foregoing, and to expedite execution of a renewal agreement, we have agreed to remove these provisions from the contract with the express understanding that the Employers reserve the right to continue such policies except in the event that such may be finally determined by an arbitrator or court to violate the law.",SOFT,deontic:permission|exception,3,Yes,SOFT,"Employers, arbitrator, court",,except in the event that such may be finally determined by an arbitrator or court to violate the law,"auto-openai:The sentence indicates a discretionary agreement to remove provisions, with the Employers retaining the right to continue policies unless legally challenged, which classifies it as a soft constraint.",,,,,,val
2021-202_0825,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,137,"All organizational activities subject to these provisions, including but not limited to the Union’s activities in the employee cafeteria and in the meeting room pursuant to subparagraph (b)(iii) above, shall be carried out in a manner so as to not disrupt patient care or otherwise interfere with the operations of the Employer.",HARD,deontic:obligation|exception,3,Yes,HARD,"union, employer",,,"auto-openai:The sentence imposes a mandatory requirement that organizational activities must not disrupt patient care or interfere with operations, indicating a hard constraint.",,,,,,val
2021-202_0394,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,62,"A part-timer shall not receive premium overtime hours prior to full-timers, unless he/she has greater classification seniority.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"part-timer, full-timer, classification seniority",,unless he/she has greater classification seniority,"auto-openai:The sentence establishes a mandatory rule regarding the distribution of premium overtime hours based on seniority, which is legally binding.",,,,,,val
2021-202_0358,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,59,"All hours worked on special projects, filling in for Employees on leave of absence, vacations, and emergencies, shall not be counted towards meeting the aforementioned requirement, except if an Employee is specifically hired for permanent vacation relief and/or permanent leaves of absence relief.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Employee, union",,if an Employee is specifically hired for permanent vacation relief and/or permanent leaves of absence relief,"auto-openai:The sentence establishes a mandatory rule regarding the counting of hours worked under specific conditions, indicating a hard constraint.",,,,,,val
2021-202_0395,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,62,"(c) Where the Employer assigns overtime on a compulsory basis due to an emergency or the inability to obtain a qualified volunteer on a timely basis, assignments shall be made among qualified Employees on a rotating basis starting with the Employee on duty who has the 15 However, the three-quarter (3/4) pay for off-premises on-call hours shall be included in regular pay for calculating overtime after 40 hours in a work week. 16 See footnote 15.",HARD,deontic:obligation|threshold,3,Yes,HARD,"Employer, Employees",max_hours=40,due to an emergency or the inability to obtain a qualified volunteer on a timely basis,"auto-openai:The sentence establishes a mandatory procedure for assigning overtime under specific conditions, indicating a hard constraint.",,,,,,val
2021-202_0860,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,140,"(iv) Except as set forth in this subparagraph (d), the Arbitrator shall have sole authority to hear any case and award an appropriate remedy concerning any dispute between the Union and the Employer relating to the interpretation or application of the rules of conduct set forth in subparagraph",HARD,deontic:obligation|exception,3,Yes,HARD,"Arbitrator, Union, Employer",,except as set forth in this subparagraph (d),"auto-openai:The sentence establishes a mandatory authority for the Arbitrator to resolve disputes, indicating a hard constraint.",,,,,,val
2021-202_0092,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,17,"Contributions to the 1199SEIU Health Care Employees Pension Fund, the Hospital League/1199 Training and Upgrading Fund, the League/1199SEIU/ Health Care Industry Job Security Fund, and the 1199SEIU/Employer Child Care Fund will not be made on behalf of temporary Employees unless and until they begin permanent employment, in which case such contributions shall commence for the payroll period in which they are made permanent. 6.",HARD,deontic:obligation|exception,3,Yes,HARD,"union, employer",,unless and until they begin permanent employment,"auto-openai:The sentence establishes a mandatory condition regarding pension fund contributions for temporary employees, indicating that contributions will not be made until they achieve permanent status.",,,,,,val
2021-202_0420,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,64,"(f) The day on which a holiday is legally celebrated17 shall be the day on which holiday premium pay is paid to those Employees who work on that day, except that Christmas shall be legally celebrated on December 25th, New Year’s Day shall be legally celebrated on January 1st, and Dr.",HARD,deontic:obligation|exception,3,Yes,HARD,Employees,,"except that Christmas shall be legally celebrated on December 25th, New Year’s Day shall be legally celebrated on January 1st","auto-openai:The sentence establishes a mandatory rule regarding holiday premium pay for employees, indicating specific holidays and using the term 'shall', which denotes a hard constraint.",,,,,,val
2021-202_0557,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,79,"In the event of a vacancy in this position for whatever cause, the parties shall expedite the selection of an arbitrator to fill the vacancy.",HARD,deontic:obligation|exception,3,Yes,HARD,"parties, arbitrator",,,auto-openai:The use of 'shall' indicates a legally mandatory requirement for the parties to expedite the selection of an arbitrator in the event of a vacancy.,,,,,,val
2021-202_0850,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,139,"Unit composition issues decided by the Regional Director shall not be subject to review by the Board unless both parties agree, except where they involve determinative challenged ballots.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Regional Director, Board, parties",,"unless both parties agree, except where they involve determinative challenged ballots","auto-openai:The sentence establishes a mandatory condition regarding the review of unit composition issues, indicating that it is not subject to review unless specific conditions are met.",,,,,,val
2021-202_0849,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,139,"Employees in any disputed job classification shall vote in said election subject to challenge, with ultimate disposition of the issue deferred until after the election, provided that they do not meet or exceed the ten percent (10%) limitation referred to above.",HARD,deontic:obligation|exception,3,Yes,SOFT,"employees, union",max_limit=10%,provided that they do not meet or exceed the ten percent (10%) limitation referred to above,"auto-openai:The sentence outlines a voting process for employees with a conditional limitation, indicating a discretionary constraint.",,,,,,val
2021-202_0844,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,138,"(i) Any election petition filed by the Union with the NLRB shall be for a collective bargaining unit that conforms to the Board’s rule on “Appropriate Units in the Health Care Industry,” 29 C.F.R. § 103.30 (other than a unit of registered nurses, physicians, or guards), unless",HARD,deontic:obligation|exception,3,Yes,HARD,"union,NLRB",,unless,"auto-openai:The sentence establishes a mandatory requirement for the Union to file election petitions that conform to specific regulatory rules, indicating a hard constraint.",,,,,,val
2021-202_0407,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,63,"Employees shall be entitled to a total of thirteen (13) paid holidays within each year, except as otherwise provided in 3(b) below.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, employer",paid_holidays=13,except as otherwise provided in 3(b) below,"auto-openai:The sentence establishes a mandatory entitlement for employees regarding paid holidays, indicating a hard constraint.",,,,,,val
2021-202_0569,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,81,"The Employer shall provide, launder and maintain any uniforms which it requires the Employees to wear, except where an amount of money is allocated for such purposes as set forth below. 2.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Employees",,except where an amount of money is allocated for such purposes as set forth below,"auto-openai:The sentence imposes a mandatory obligation on the Employer to provide and maintain uniforms for Employees, with a specific exception regarding allocated funds.",,,,,,val
2021-202_0112,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,19,"(b) Bargaining unit seniority shall accrue during a continuous authorized leave of absence without pay up to twenty-four (24) months, or for the period of maternity leave provided that the Employee returns to work immediately following the expiration of such leave of absence; during an authorized leave of absence with pay; during a period of continuous layoff not to exceed the lesser of",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, union",max_leave_duration=24months,provided that the Employee returns to work immediately following the expiration of such leave of absence,"auto-openai:The sentence establishes a mandatory rule regarding the accrual of seniority during specific types of leave, indicating a hard constraint.",,,,,,val
2021-202_0840,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,138,"Nothing contained in this Agreement shall be construed as limiting either the Union’s or the Employer’s right to correct any inaccurate statements made by the other during the period covered by these rules of conduct, provided that the corrections are made in a manner consistent with the speech standard in subparagraph (b)(vii) above.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Union, Employer",,provided that the corrections are made in a manner consistent with the speech standard in subparagraph (b)(vii) above,"auto-openai:The sentence allows for the correction of statements but does so in a discretionary manner, contingent upon adherence to a specified standard.",,,,,,val
2021-202_0116,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,19,"(3) months or should any temporary Employee become a permanent Employee, then his/her seniority shall be retroactive to the date of employment, except as otherwise provided in Section 4(c) hereof.",HARD,deontic:obligation|deontic:preference|exception,3,Yes,HARD,"Employee, union",,except as otherwise provided in Section 4(c) hereof,"auto-openai:The sentence establishes a mandatory rule regarding the retroactive seniority of temporary Employees who become permanent, indicating a legal obligation.",,,,,,val
2021-202_0402,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,63,"Notwithstanding the foregoing, Employees shall have preference in filling vacancies on another shift in the classification in which they are then working over new Employees. 3.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employees, new Employees",,,"auto-openai:The sentence establishes a mandatory preference for existing employees in filling vacancies, indicating a hard constraint.",,,,,,val
2021-202_0575,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,81,"(2) Employers who are now subcontracting all or any part of their present services to other Employers who however, do not pay the economic equivalent of the total compensation package provided for in this Agreement, including wages, benefits and other labor costs, may continue to do so without restriction provided that the total amount of such services presently so subcontracted shall remain at the current existing level.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,"employers, union",,provided that the total amount of such services presently so subcontracted shall remain at the current existing level,"auto-openai:The sentence allows employers to subcontract services under certain conditions, indicating a discretionary approach rather than a mandatory requirement.",,,,,,val
2021-202_0177,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,26,"(a) When an HHC Affiliation contract is terminated or its funding reduced, HHC Affiliation Employees who otherwise meet the criteria for protected status may be laid off subject to the following rights (including the JSF extension of benefits): i.",SOFT,deontic:permission|exception,3,Yes,SOFT,"HHC Affiliation Employees, JSF",,subject to the following rights (including the JSF extension of benefits),"auto-openai:The sentence indicates that employees may be laid off under certain conditions, which implies discretion and negotiation, classifying it as a soft constraint.",,,,,,val
2021-202_0356,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,59,"The regular work day for all full-time Employees covered by this Agreement shall consist of the number of hours in the regular work week as above defined, divided by five (5), exclusive of an unpaid lunch period, except for those Employees who received a paid lunch period as of June 30, 1982. 3.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employees, Agreement",max_hours=8,"except for those Employees who received a paid lunch period as of June 30, 1982","auto-openai:The sentence establishes a mandatory structure for the regular workday, specifying the number of hours and including an exception for certain employees.",,,,,,val
2021-202_0086,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,16,"During or at the end of the probationary period, the Employer may discharge any such Employee at will and such discharge shall not be subject to the grievance and arbitration provisions of this Agreement.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,Yes,HARD,"Employer, Employee",,,"auto-openai:The sentence establishes a mandatory condition under which the Employer can discharge an Employee without recourse to grievance procedures, indicating a hard constraint.",,,,,,val
2021-202_0621,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,86,"Within a reasonable time (except as provided in Article XXIX), an Employee having a grievance and/or his/her Union delegate or other representative shall take it up with his/her immediate supervisor.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Employee, Union, supervisor",,except as provided in Article XXIX,"auto-openai:The sentence outlines a process for addressing grievances, indicating a discretionary approach rather than a mandatory requirement.",,,,,,val
2021-202_0232,healthcare,2021-2024_League_CBA_Booklet_PDF_1,2021-2024_League_CBA_Booklet_PDF_1_annotated.csv,33,"(3) In addition, an affected Employee shall also have the right to a vacant job which, by past practice, an Employer has previously grouped with the Employee’s job classification for such Employer’s purposes of layoff and recall, except where such other job classification has since been materially modified in a way that renders the prior grouping inappropriate.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employee, Employer",,except where such other job classification has since been materially modified in a way that renders the prior grouping inappropriate,"auto-openai:The sentence establishes a mandatory right for affected employees regarding job vacancies, indicating a legally binding obligation on the employer.",,,,,,val
